date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:07	10535/10535	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.keyTable.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.keyTable.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:08	12062/12062	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.select.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.select.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:11	366/366	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/datatables.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/datatables.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:11	14999/14999	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/rwd-table/rwd-table.min.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/rwd-table/rwd-table.min.css	(from https://coderthemes.com/adminto/layouts/horizontal/tables-responsive.html)
00:48:11	11551/11551	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/rwd-table/rwd-table.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/rwd-table/rwd-table.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-responsive.html)
00:48:12	260/260	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/responsive-table.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/responsive-table.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-responsive.html)
00:48:12	9484/9484	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/jquery-tabledit/jquery.tabledit.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/jquery-tabledit/jquery.tabledit.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-editable.html)
00:48:13	718/718	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/tabledit.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/tabledit.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-editable.html)
00:48:13	14577/14577	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/tablesaw/tablesaw.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/tablesaw/tablesaw.css	(from https://coderthemes.com/adminto/layouts/horizontal/tables-tablesaw.html)
00:48:17	94992/94992	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/tablesaw/tablesaw.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/tablesaw/tablesaw.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-tablesaw.html)
00:48:17	55/55	---M--	200	added ('OK')	application/x-javascript	etag:%225ebd3c57-37%22	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/tablesaw.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/tablesaw.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-tablesaw.html)
00:48:18	5748/5748	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c57-1674%22	https://coderthemes.com/adminto/layouts/horizontal/assets/images/users/user-7.jpg	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/images/users/user-7.jpg	(from https://coderthemes.com/adminto/layouts/horizontal/apps-chat.html)
00:48:18	16140/16140	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/fullcalendar/fullcalendar.min.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/fullcalendar/fullcalendar.min.css	(from https://coderthemes.com/adminto/layouts/horizontal/calendar.html)
00:48:22	4640/4640	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/fullcalendar.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/fullcalendar.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/calendar.html)
00:48:24	10301/10301	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/inbox.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/inbox.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/inbox.html)
00:48:26	122971/122971	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/flot-charts/jquery.flot.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/flot-charts/jquery.flot.js	(from https://coderthemes.com/adminto/layouts/horizontal/charts-flot.html)
00:48:26	1178225/1178225	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/pdfmake/pdfmake.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/pdfmake/pdfmake.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:28	11768/11768	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/flot-charts/jquery.flot.time.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/flot-charts/jquery.flot.time.js	(from https://coderthemes.com/adminto/layouts/horizontal/charts-flot.html)
00:48:28	926228/926228	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/pdfmake/vfs_fonts.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/pdfmake/vfs_fonts.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
